name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
kenya,2017-05-01,77,61.3,67.1,77,61.3,67.1,60.5,81,0.551,100,8.33,rain,0,0,15.7,11.4,133,1021.4,66.8,6.7,155.6,13.2,6,,2017-05-01T06:27:43,2017-05-01T18:31:50,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-02,73.6,61,66.9,73.6,61,66.9,59.6,78.3,0.157,100,4.17,rain,0,0,21.3,17.8,152.2,1021.6,83.4,6.2,212.3,18.3,8,,2017-05-02T06:27:37,2017-05-02T18:31:42,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-03,76.8,61.3,67.1,76.8,61.3,67.1,60.8,81.5,0.039,100,4.17,rain,0,0,22.4,10.8,149,1020.9,76,6.3,200.1,17.2,8,,2017-05-03T06:27:33,2017-05-03T18:31:34,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-04,75.7,60.8,67.2,75.7,60.8,67.2,60.8,81,0.008,100,4.17,rain,0,0,22.8,21.5,121.8,1020.6,79.6,6.4,172.8,15,5,,2017-05-04T06:27:28,2017-05-04T18:31:27,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-05,71.4,62.6,65.8,71.4,62.6,65.8,61.5,86.4,0.362,100,12.5,rain,0,0,21.7,14,95.7,1021.6,75.5,6.3,110.7,9.5,5,,2017-05-05T06:27:25,2017-05-05T18:31:21,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-06,71.7,62.4,65.9,71.7,62.4,65.9,62.1,88,0.511,100,8.33,rain,0,0,20.4,11.4,56.3,1021.9,78,6.3,132.6,11.4,6,,2017-05-06T06:27:21,2017-05-06T18:31:15,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-07,75.4,61.7,67.5,75.4,61.7,67.5,60,78.7,0.157,100,4.17,rain,0,0,26.6,13.6,78,1021.3,75.1,6.3,229.1,19.6,8,,2017-05-07T06:27:19,2017-05-07T18:31:09,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-08,75.4,61,66.2,75.4,61,66.2,61.2,85.5,0.275,100,8.33,rain,0,0,23.3,11.6,139.8,1021.8,80.3,6.5,207.9,17.9,8,,2017-05-08T06:27:17,2017-05-08T18:31:05,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-09,76.6,61,67.4,76.6,61,67.4,60.2,79.4,0,0,0,,0,0,25.1,16.2,127,1021.6,69.4,6.7,206.2,17.7,7,,2017-05-09T06:27:15,2017-05-09T18:31:01,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-10,73.6,60.8,66.8,73.6,60.8,66.8,60.3,80.7,0,0,0,,0,0,24.2,20.1,78.8,1020.9,56.6,6.3,229,19.6,8,,2017-05-10T06:27:14,2017-05-10T18:30:57,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-11,75.6,61.3,67.9,75.6,61.3,67.9,60.5,78.7,0,0,0,,0,0,22.6,11.6,87.6,1020.8,71.7,6.5,178.9,15.5,6,,2017-05-11T06:27:13,2017-05-11T18:30:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-12,76.8,61.3,67.5,76.8,61.3,67.5,61.2,81.1,0.236,100,4.17,rain,0,0,21.3,16.5,148.2,1021.4,68.1,6.3,227.2,19.6,9,,2017-05-12T06:27:14,2017-05-12T18:30:52,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-13,73.8,60.8,66.9,73.8,60.8,66.9,59.2,78,0,0,0,,0,0,23.5,16,124.3,1021.7,72.7,6.4,232.9,19.9,8,,2017-05-13T06:27:14,2017-05-13T18:30:50,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-14,77,60.8,67.5,77,60.8,67.5,58.2,73.8,0,0,0,,0,0,20.6,13.6,126.8,1021.5,76.4,6.3,266.4,23,9,,2017-05-14T06:27:15,2017-05-14T18:30:49,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-15,73.4,60.8,66.4,73.4,60.8,66.4,58.4,76.4,0,0,0,,0,0,18.6,16.6,136.5,1022.4,76.6,6.4,199.7,17.3,7,,2017-05-15T06:27:17,2017-05-15T18:30:48,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-16,77.2,59,67,77.2,59,67,59.1,77.9,0,0,0,,0,0,17.7,13.7,127.4,1021.9,76.8,6.4,214,18.5,8,,2017-05-16T06:27:19,2017-05-16T18:30:48,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-17,77,60.8,67.8,77,60.8,67.8,58.9,74.3,0,0,0,,0,0,21.7,14.2,88,1021.7,80,6.4,231.3,19.9,8,,2017-05-17T06:27:22,2017-05-17T18:30:49,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-18,75.2,60.8,67.2,75.2,60.8,67.2,59,76.7,0,0,0,,0,0,21.5,13.6,127.6,1022.2,66.9,6.4,209.3,18,8,,2017-05-18T06:27:25,2017-05-18T18:30:50,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-19,75.2,62.3,67.2,75.2,62.3,67.2,58.7,75.9,0,0,0,,0,0,24.2,11.7,83.3,1024.1,73.8,6.5,223,19.2,9,,2017-05-19T06:27:29,2017-05-19T18:30:52,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-20,75.2,60.5,67.1,75.2,60.5,67.1,57,72.7,0,0,0,,0,0,22.4,11.4,123.7,1024.3,80.9,6.4,199.6,17.4,7,,2017-05-20T06:27:33,2017-05-20T18:30:54,0.82,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-21,77.2,60.8,68,77.2,60.8,68,57.3,71.5,0.008,100,4.17,rain,0,0,25.3,13.6,122.2,1022.9,67.9,6.6,254.8,22.2,10,,2017-05-21T06:27:38,2017-05-21T18:30:57,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-22,77.1,60.6,67.6,77.1,60.6,67.6,57,71.9,0,0,0,,0,0,23.9,16,120.5,1022.4,73.2,6.4,197.8,17,7,,2017-05-22T06:27:44,2017-05-22T18:31:01,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-23,75.2,60.5,66.5,75.2,60.5,66.5,57.7,74.8,0,0,0,,0,0,23.5,17.1,105.9,1023.1,76,6.4,186,16.1,7,,2017-05-23T06:27:49,2017-05-23T18:31:05,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-24,78.8,59,68,78.8,59,68,55.9,68.8,0,0,0,,0,0,21.7,13.6,106.3,1022,53.8,6.4,259.5,22.5,9,,2017-05-24T06:27:56,2017-05-24T18:31:09,0.95,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-25,82.4,59,68.6,81.2,59,68.6,56.4,68.9,0,0,0,,0,0,16.6,16.8,131.6,1021.5,59.2,6.7,269.7,23.3,9,,2017-05-25T06:28:03,2017-05-25T18:31:14,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-26,80.8,53.6,67.9,80.3,53.6,67.8,53.9,64.5,0,0,0,,0,0,15.7,14,125,1020.9,41.3,6.3,241.7,20.8,9,,2017-05-26T06:28:10,2017-05-26T18:31:20,0.02,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-27,80.8,58.7,69.7,80.5,58.7,69.6,56,64.8,0,0,0,,0,0,15.2,15.1,79.1,1021.2,53,6.3,246,21.2,9,,2017-05-27T06:28:18,2017-05-27T18:31:26,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-28,78.8,62.6,68.1,78.8,62.6,68.1,60.1,77.6,0.079,100,4.17,rain,0,0,17.2,13.9,143.4,1022,71.3,6.3,236.7,20.4,9,,2017-05-28T06:28:26,2017-05-28T18:31:33,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"HKJK,remote,HKNW,63740099999,63742099999"
kenya,2017-05-29,71.6,60.9,65.1,71.6,60.9,65.1,60,84,0,0,0,,0,0,19.9,11.2,101.8,1023.7,74.1,6.3,143.9,12.3,5,,2017-05-29T06:28:34,2017-05-29T18:31:40,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-30,73.4,62.6,66.5,73.4,62.6,66.5,57.8,75.5,0.118,100,4.17,rain,0,0,22.6,13.3,108.3,1024.1,84.7,6.4,194.5,16.7,8,,2017-05-30T06:28:43,2017-05-30T18:31:47,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-05-31,77,57.2,66.8,77,57.2,66.8,57.3,73.5,0,0,0,,0,0,17.4,11.4,104.6,1024.1,80.4,6.5,186.6,16.1,6,,2017-05-31T06:28:53,2017-05-31T18:31:55,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
kenya,2017-06-01,80.6,60.8,68.7,80.5,60.8,68.7,57.3,69.7,0,0,0,,0,0,19,11.4,89.3,1023.7,53.3,6.8,221.2,19,8,,2017-06-01T06:29:02,2017-06-01T18:32:04,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"HKJK,HKNW,63740099999,63742099999"
